date,product,category,price,quantity,revenue
2022-02-23,Coat,Clothing,100,6,600
2022-02-24,T-Shirt,Clothing,20,15,300
2022-02-25,Smartwatch,Accessories,200,10,2000
2022-02-26,Jeans,Clothing,50,18,900
2022-02-27,Smartphone,Electronics,600,9,5400
2022-02-28,Watch,Accessories,150,5,750
2022-03-01,T-Shirt,Clothing,20,40,800
2022-03-02,Smartphone,Electronics,600,10,6000
2022-03-03,Headphones,Electronics,100,15,1500
2022-03-04,Coat,Clothing,100,20,2000
2022-03-05,Smartwatch,Accessories,200,12,2400
2022-03-06,Smartphone,Electronics,600,7,4200
2022-03-07,Speaker,Electronics,80,10,800
2022-03-08,Backpack,Bags,50,15,750
2022-03-09,Jeans,Clothing,50,25,1250
2022-03-10,T-Shirt,Clothing,20,30,600
2022-03-11,Hoodie,Clothing,40,10,400
2022-03-12,Smartphone,Electronics,600,12,7200
2022-03-13,Sneakers,Shoes,80,15,1200
2022-03-14,Wallet,Accessories,30,40,1200
2022-03-15,Smartwatch,Accessories,200,5,1000
2022-03-16,Smartphone,Electronics,600,6,3600
2022-03-17,Coat,Clothing,100,8,800
2022-03-18,Speaker,Electronics,80,20,1600
2022-03-19,Backpack,Bags,50,10,500
2022-03-20,T-Shirt,Clothing,20,25,500
2022-03-21,Tablet,Electronics,400,3,1200
2022-03-22,Smartphone,Electronics,600,7,4200
2022-03-23,Sneakers,Shoes,80,12,960
2022-03-24,T-Shirt,Clothing,20,15,300
2022-03-25,Smartwatch,Accessories,200,8,1600
2022-03-26,Jeans,Clothing,50,20,1000
2022-03-27,Smartphone,Electronics,600,9,5400
2022-03-28,Watch,Accessories,150,10,1500
2022-03-29,Coat,Clothing,100,5,500
2022-03-30,Headphones,Electronics,100,10,1000
2022-03-31,Smartphone,Electronics,600,11,6600
2022-04-01,Hoodie,Clothing,40,30,1200
2022-04-02,Smartphone,Electronics,600,10,6000
2022-04-03,Speaker,Electronics,80,25,2000
2022-04-04,Coat,Clothing,100,15,1500
2022-04-05,Smartwatch,Accessories,200,10,
2022-04-06,Smartphone,Electronics,600,7,4200
2022-04-07,Backpack,Bags,50,18,900
2022-04-08,T-Shirt,Clothing,20,35,700
2022-04-09,Jeans,Clothing,50,10,500
2022-04-10,Watch,Accessories,150,12,1800
2022-04-11,Hoodie,Clothing,40,20,800
2022-04-12,Smartphone,Electronics,600,12,7200
2022-04-13,Sneakers,Shoes,80,8,640
2022-04-14,Wallet,Accessories,30,30,900
2022-04-15,Smartwatch,Accessories,200,5,1000
2022-04-16,Smartphone,Electronics,600,6,3600
2022-04-17,Coat,Clothing,100,8,800
2022-04-18,Speaker,Electronics,80,20,1600
2022-04-19,Backpack,Bags,50,15,750
2022-04-20,T-Shirt,Clothing,20,20,400
2022-04-21,Tablet,Electronics,400,6,2400
2022-04-22,Smartphone,Electronics,600,7,4200
2022-04-23,Sneakers,Shoes,80,12,960
2022-04-24,T-Shirt,Clothing,20,25,500
2022-04-25,Smartwatch,Accessories,200,8,1600
2022-04-26,Jeans,Clothing,50,15,750
2022-04-27,Smartphone,Electronics,600,9,5400
2022-04-28,Watch,Accessories,150,10,1500
2022-04-29,Coat,Clothing,100,5,500
2022-04-30,Headphones,Electronics,100,15,1500
2022-05-01,Smartphone,Electronics,600,,6600
2022-05-02,Hoodie,Clothing,40,20,800
2022-05-03,Smartphone,Electronics,600,10,6000
2022-05-04,Speaker,Electronics,80,22,1760
2022-05-05,Coat,Clothing,100,18,1800
2022-05-06,Smartwatch,Accessories,200,12,2400
2022-05-07,Smartphone,Electronics,600,7,4200
2022-05-08,Backpack,Bags,50,20,1000
2022-05-09,T-Shirt,Clothing,20,30,600
2022-05-10,Jeans,Clothing,50,25,1250
2022-05-11,Watch,Accessories,150,15,2250
2022-05-12,Hoodie,Clothing,40,15,600
2022-05-13,Smartphone,Electronics,600,12,7200
2022-05-14,Sneakers,Shoes,80,8,640
2022-05-15,Wallet,Accessories,30,35,1050
2022-05-16,Smartwatch,Accessories,200,9,1800
2022-05-17,Smartphone,Electronics,600,6,3600
2022-05-18,Coat,Clothing,100,8,800
2022-05-19,Speaker,Electronics,80,20,1600
2022-05-20,Backpack,Bags,50,15,750
2022-05-21,T-Shirt,Clothing,20,25,500
2022-05-22,Smartphone,Electronics,600,7,4200
2022-05-23,Sneakers,Shoes,80,12,960
2022-05-24,T-Shirt,Clothing,20,15,300
2022-05-25,Smartwatch,Accessories,200,8,1600
2022-05-26,Jeans,Clothing,50,20,1000
2022-05-27,Smartphone,Electronics,600,9,5400
2022-05-28,Watch,Accessories,150,5,750
2022-05-29,Coat,Clothing,100,5,500
2022-05-30,Headphones,Electronics,100,10,1000
2022-05-31,Smartphone,Electronics,600,11,6600
2022-06-01,Hoodie,Clothing,40,30,1200
2022-06-02,Smartphone,Electronics,600,10,6000
2022-06-03,Speaker,Electronics,80,25,2000
2022-06-04,Coat,Clothing,100,15,1500
2022-06-05,Smartwatch,Accessories,200,10,2000
2022-06-06,Smartphone,Electronics,600,7,4200
2022-06-07,Backpack,Bags,50,18,900
2022-06-08,T-Shirt,Clothing,20,35,700
2022-06-09,Jeans,Clothing,50,10,500
2022-06-10,Watch,Accessories,150,12,1800
2022-06-11,Hoodie,Clothing,40,20,800
2022-06-12,Smartphone,Electronics,600,12,7200
2022-06-13,Sneakers,Shoes,80,15,1200
2022-06-14,Wallet,Accessories,30,40,1200
2022-06-15,Smartwatch,Accessories,200,5,1000
2022-06-16,Smartphone,Electronics,600,6,3600
2022-06-17,Coat,Clothing,100,8,800
2022-06-18,Speaker,Electronics,80,20,1600
2022-06-19,Backpack,Bags,50,15,750
2022-06-20,T-Shirt,Clothing,20,20,400
2022-06-21,Tablet,Electronics,400,6,2400
2022-06-22,Smartphone,Electronics,600,7,4200
2022-06-23,Sneakers,Shoes,80,12,960
2022-06-24,T-Shirt,Clothing,20,25,500
2022-06-25,Smartwatch,Accessories,200,8,1600
2022-06-26,Jeans,Clothing,50,15,750
2022-06-27,Smartphone,Electronics,600,9,5400
2022-06-28,Watch,Accessories,150,10,1500
2022-06-29,Coat,Clothing,100,5,500
2022-06-30,Headphones,Electronics,100,15,1500
2022-07-01,Smartphone,Electronics,600,11,6600
2022-07-02,Hoodie,Clothing,40,20,800
2022-07-03,Smartphone,Electronics,600,10,6000
2022-07-04,Speaker,Electronics,80,22,1760
2022-07-05,Coat,Clothing,100,18,1800
2022-07-06,Smartwatch,Accessories,200,12,2400
2022-07-07,Smartphone,Electronics,600,7,4200
2022-07-08,Backpack,Bags,50,20,1000
2022-07-09,T-Shirt,Clothing,20,30,600
2022-07-10,Jeans,Clothing,50,25,1250
2022-07-11,Watch,Accessories,,15,2250
2022-07-12,Hoodie,Clothing,40,15,600
2022-07-13,Smartphone,Electronics,600,12,7200
2022-07-14,Sneakers,Shoes,80,8,640
2022-07-15,Wallet,Accessories,30,35,1050
2022-07-16,Smartwatch,Accessories,200,9,1800
2022-07-17,Smartphone,Electronics,600,6,3600
2022-07-18,Coat,Clothing,100,8,800
2022-07-19,Speaker,Electronics,80,20,1600
2022-07-20,Backpack,Bags,50,15,750
2022-07-21,T-Shirt,Clothing,20,25,500
2022-07-22,Smartphone,Electronics,600,7,4200
2022-07-23,Sneakers,Shoes,80,12,960
2022-07-24,T-Shirt,Clothing,20,15,300
2022-07-25,Smartwatch,Accessories,200,8,1600
2022-07-26,Jeans,Clothing,50,20,1000
2022-07-27,Smartphone,Electronics,600,9,5400
2022-07-28,Watch,Accessories,150,5,750
2022-07-29,Coat,Clothing,100,5,500
2022-07-30,Headphones,Electronics,100,10,1000
2022-07-31,Smartphone,Electronics,600,11,6600
2022-08-01,Hoodie,Clohting,40,30,1200
2022-08-02,Smartphone,Electronics,600,10,6000
2022-08-03,Speaker,Electronics,80,25,2000
2022-08-04,Coat,Clothing,100,15,1500
2022-08-05,Smartwatch,Accessories,200,10,2000
2022-08-06,Smartphone,Electronics,600,7,4200
2022-08-07,Backpack,Bags,50,18,900
2022-08-08,T-Shirt,Clothing,20,35,700
2022-08-09,Jeans,Clothing,50,10,500
2022-08-10,Watch,Accessories,150,12,1800
2022-08-11,Hoodie,Clothing,40,20,800
2022-08-12,Smartphone,Electronics,600,12,7200
2022-08-13,Sneakers,Shoes,80,15,1200
2022-08-14,Wallet,Accessories,30,40,1200
2022-08-15,Smartwatch,Accessories,200,5,1000
2022-08-16,Smartphone,Electronics,600,6,3600
2022-08-17,Coat,Clothing,100,8,800
2022-08-18,Speaker,Electronics,80,20,1600
2022-08-19,Backpack,Bags,50,15,750
2022-08-20,T-Shirt,Clothing,20,20,400
2022-08-21,Tablet,Electronics,400,6,2400
2022-08-22,Smartphone,Electronics,600,7,4200
2022-08-23,Sneakers,Shoes,80,12,960
2022-08-24,T-Shirt,Clothing,20,25,500
2022-08-25,Smartwatch,Accessories,200,8,1600
2022-08-26,Jeans,Clothing,50,15,750
2022-08-27,Smartphone,Electronics,600,9,5400
2022-08-28,Watch,Accessories,150,10,1500
2022-08-29,Coat,Clothing,100,5,500
2022-08-30,Headphones,Electronics,100,15,1500
2022-08-31,Smartphone,Electronics,600,11,6600
2022-09-01,Hoodie,Clothing,40,20,800
2022-09-02,Smartphone,Electronics,600,10,6000
2022-09-03,Speaker,Electronics,80,22,1760
2022-09-04,Coat,Clothing,100,18,1800
2022-09-05,Smartwatch,Accessories,200,12,2400
2022-09-06,Smartphone,Electronics,600,7,4200
2022-09-07,Backpack,Bags,50,20,1000
2022-09-08,T-Shirt,Clothing,20,30,600
2022-09-09,Jeans,Clothing,50,25,1250
2022-09-10,Watch,Accessories,150,15,2250
2022-09-11,Hoodie,Clothing,40,15,600
2022-09-12,Smartphone,Electronics,600,12,7200
2022-09-13,Sneakers,Shoes,80,8,640
2022-09-14,Wallet,Accessories,30,35,1050
2022-09-15,Smartwatch,Accessories,200,9,1800
2022-09-16,Smartphone,Electronics,600,6,3600
2022-09-17,Coat,Clothing,100,8,800
2022-09-18,Speaker,Electronics,80,20,1600
2022-09-19,Backpack,Bags,50,15,750
2022-09-20,T-Shirt,Clothing,20,25,500
2022-09-21,Smartphone,Electronics,600,7,4200
2022-09-22,Sneakers,Shoes,80,12,960
2022-09-23,T-Shirt,Clothing,20,15,300
2022-09-24,Smartwatch,Accessories,200,8,1600
2022-09-25,Jeans,Clothing,50,20,1000
2022-09-26,Smartphone,Electronics,600,9,5400
2022-09-27,Watch,Accessories,150,5,750
2022-09-28,Coat,Clothing,100,5,500
2022-09-29,Headphones,Electronics,100,10,1000
2022-09-30,Smartphone,Electronics,600,11,6600
2022-10-01,Hoodie,Clothing,40,30,1200
2022-10-01,Hoodie,Clothing,40,30,1200
2022-10-02,Smartphone,Electronics,600,10,6000
2022-10-03,Speaker,Electronics,80,25,2000
2022-10-04,Coat,Clothing,100,15,1500
2022-10-05,Smartwatch,Accessories,200,10,2000
2022-10-06,Smartphone,Electronics,600,7,4200
2022-10-07,Backpack,Bags,50,18,900
2022-10-08,T-Shirt,Clothing,20,35,700
2022-10-09,Jeans,Clothing,50,10,500
2022-10-10,Watch,Accessories,150,12,1800
2022-10-11,Hoodie,Clothing,40,20,800
2022-10-12,Smartphone,Electronics,600,12,7200
2022-10-13,Sneakers,Shoes,80,15,1200
2022-10-14,Wallet,Accessories,30,40,1200
2022-10-15,Smartwatch,Accessories,200,5,1000
2022-10-16,Smartphone,Electronics,600,6,3600
2022-10-17,Coat,Clothing,100,8,800
2022-10-18,Speaker,Electronics,80,20,1600
2022-10-19,Backpack,Bags,50,15,750
2022-10-20,T-Shirt,Clothing,20,20,400
2022-10-21,Tablet,Electronics,400,6,2400
2022-10-22,Smartphone,Electronics,600,7,4200
2022-10-23,Sneakers,Shoes,80,12,960
2022-10-24,T-Shirt,Clothing,20,25,500
2022-10-25,Smartwatch,Accessories,200,8,1600
2022-10-26,Jeans,Clothing,50,15,750
2022-10-27,Smartphone,Electronics,600,9,5400
2022-10-28,Watch,Accessories,150,10,1500
2022-10-29,Coat,Clothing,100,5,500
2022-10-30,Headphones,Electronics,100,15,1500
2022-10-31,Smartphone,Electronics,600,11,6600
2022-11-01,Hoodie,Clothing,40,20,800
2022-11-02,Smartphone,Electronics,600,10,6000
2022-11-03,Speaker,Electronics,80,22,1760
2022-11-04,Coat,Clothing,100,18,1800
2022-11-05,Smartwatch,Accessories,200,12,2400
2022-11-06,Smartphone,Electronics,600,7,4200
2022-11-07,Backpack,Bags,50,20,1000
2022-11-08,T-Shirt,Clothing,20,30,600
2022-11-09,Jeans,Clothing,50,25,1250
2022-11-10,Watch,Accessories,150,15,2250
2022-11-10,Hoodie,Clothing,40,15,600
2022-11-11,Smartphone,Electronics,600,12,7200
2022-11-12,Sneakers,Shoes,80,8,640
2022-11-13,Wallet,Accessories,,35,1050
2022-11-14,Smartwatch,Accessories,200,9,1800
2022-11-15,Smartphone,Electronics,600,6,3600
2022-11-16,Coat,Clothing,100,8,800
2022-11-17,Speaker,Electronics,80,20,1600
2022-11-18,Backpack,Bags,50,15,750
2022-11-19,T-Shirt,Clothing,20,25,500
2022-11-20,Smartphone,Electronics,600,7,4200
2022-11-21,Sneakers,Shoes,80,12,960
2022-11-22,T-Shirt,Clothing,20,15,300
2022-11-23,Smartwatch,Accessories,200,8,1600
2022-11-24,Jeans,Clothing,50,20,1000
2022-11-25,Smartphone,Electronics,600,9,5400
2022-11-26,Watch,Accessories,150,5,750
2022-11-27,Coat,Clothing,100,5,500
2022-11-28,Headphones,Electronics,100,10,1000
2022-11-29,Smartphone,Electronics,600,11,6600
2022-11-30,Hoodie,Clothing,40,30,1200
2022-12-01,Smartphone,Electronics,600,10,6000
2022-12-02,Speaker,Electronics,80,25,2000
2022-12-03,Coat,Clothing,100,15,1500
2022-12-04,Smartwatch,Accessories,200,10,2000
2022-12-05,Smartphone,Electronics,600,7,4200
2022-12-06,Backpack,Bgas,50,18,900
2022-12-07,T-Shirt,Clothing,20,35,700
2022-12-08,Jeans,Clothing,50,10,500
2022-12-09,Watch,Accessories,150,12,1800
2022-12-10,Hoodie,Clothing,40,20,800
2022-12-11,Smartphone,Electronics,600,12,7200
2022-12-12,Sneakers,Shoes,80,15,1200
2022-12-13,Wallet,Accessories,30,40,1200
2022-12-14,Smartwatch,Accessories,200,5,1000
2022-12-15,Smartphone,Electronics,600,6,3600
2022-12-16,Coat,Clothing,100,8,800
2022-12-17,Speaker,Electronics,80,20,1600
2022-12-18,Backpack,Bags,50,15,750
2022-12-19,T-Shirt,Clothing,20,20,400
2022-12-20,Tablet,Electronics,400,6,2400
2022-12-21,Smartphone,Electronics,600,7,4200
2022-12-22,Sneakers,Shoeses,80,12,960
2022-12-23,T-Shirt,Clothing,20,25,500
2022-12-24,Smartwatch,Accessories,200,8,1600
2022-12-25,Jeans,Clothing,50,15,750
2022-12-26,Smartphone,Electronics,600,9,5400
2022-12-27,Watch,Accessories,150,5,750
2022-12-28,Coat,Clothing,100,5,500
2022-12-29,Headphones,Electronics,100,10,1000
2022-12-30,Smartphone,Electronics,600,11,6600
2022-12-31,Hoodie,Clothing,40,30,1200
